,,,,DEC,JUN,MAR,SEP
PlayStation 4 (PS4),Sony,Other,2016,429.9999999999997,669.9999999999999,1320.0000000000002,450.00000000000017
PlayStation 4 (PS4),Sony,Other,2017,1319.9999999999984,519.9999999999995,1600.0000000000005,640.0000000000006
PlayStation 4 (PS4),Sony,Other,2018,780.0000000000011,629.999999999999,1760.0000000000016,339.9999999999999
PlayStation 4 (PS4),Sony,Other,2019,609.9999999999994,660.0000000000001,1000.0,719.9999999999989
PlayStation 4 (PS4),Sony,Other,2020,109.99999999999945,420.0000000000017,699.9999999999993,250.0
PlayStation Vita (PSV),Sony,Europe,2013,229.99999999999977,330.00000000000006,169.99999999999994,130.0000000000001
PlayStation Vita (PSV),Sony,Europe,2014,89.99999999999986,109.99999999999989,390.0000000000001,70.00000000000028
PlayStation Vita (PSV),Sony,Europe,2015,240.00000000000023,149.99999999999991,169.99999999999994,1080.0
PlayStation Vita (PSV),Sony,Europe,2016,140.00000000000057,129.9999999999999,0.0,139.9999999999997
PlayStation Vita (PSV),Sony,Europe,2017,40.00000000000004,60.0000000000005,269.99999999999955,29.99999999999936
PlayStation Vita (PSV),Sony,Europe,2018,0.0,9.999999999999789,50.00000000000071,0.0
PlayStation Vita (PSV),Sony,Europe,2019,0.0,0.0,0.0,0.0
PlayStation Vita (PSV),Sony,Europe,2020,0.0,0.0,0.0,0.0
PlayStation Vita (PSV),Sony,Japan,2013,179.99999999999994,230.0,270.0,230.0
PlayStation Vita (PSV),Sony,Japan,2014,180.00000000000017,330.00000000000006,579.9999999999999,270.0
PlayStation Vita (PSV),Sony,Japan,2015,210.0,270.0,290.00000000000006,149.99999999999991
PlayStation Vita (PSV),Sony,Japan,2016,89.99999999999986,240.00000000000023,410.0000000000001,169.99999999999994
PlayStation Vita (PSV),Sony,Japan,2017,70.00000000000028,89.99999999999986,280.0000000000002,49.99999999999982
PlayStation Vita (PSV),Sony,Japan,2018,30.00000000000025,59.99999999999961,89.99999999999986,40.00000000000004
PlayStation Vita (PSV),Sony,Japan,2019,0.0,30.00000000000025,19.999999999999574,0.0
PlayStation Vita (PSV),Sony,Japan,2020,0.0,0.0,0.0,0.0
PlayStation Vita (PSV),Sony,North America,2013,79.99999999999984,69.99999999999984,140.0000000000001,110.0000000000001
PlayStation Vita (PSV),Sony,North America,2014,49.99999999999982,30.00000000000003,260.0,80.00000000000007
PlayStation Vita (PSV),Sony,North America,2015,30.00000000000025,69.99999999999984,190.0000000000004,29.999999999999805
PlayStation Vita (PSV),Sony,North America,2016,9.999999999999789,29.999999999999805,100.00000000000009,0.0
PlayStation Vita (PSV),Sony,North America,2017,0.0,10.000000000000233,20.000000000000018,0.0
PlayStation Vita (PSV),Sony,North America,2018,0.0,0.0,9.999999999999789,0.0
PlayStation Vita (PSV),Sony,North America,2019,80.00000000000007,0.0,10.000000000000233,0.0
PlayStation Vita (PSV),Sony,North America,2020,0.0,0.0,0.0,0.0
PlayStation Vita (PSV),Sony,Other,2013,40.00000000000004,140.0,60.0,70.0
PlayStation Vita (PSV),Sony,Other,2014,70.00000000000006,200.00000000000009,159.99999999999991,59.99999999999994
PlayStation Vita (PSV),Sony,Other,2015,120.00000000000011,120.00000000000011,149.99999999999991,440.0
PlayStation Vita (PSV),Sony,Other,2016,50.00000000000027,109.99999999999989,29.999999999999805,80.00000000000007
PlayStation Vita (PSV),Sony,Other,2017,20.000000000000018,50.00000000000027,139.9999999999997,29.999999999999805
PlayStation Vita (PSV),Sony,Other,2018,0.0,10.000000000000233,20.000000000000018,0.0
PlayStation Vita (PSV),Sony,Other,2019,0.0,0.0,0.0,0.0
PlayStation Vita (PSV),Sony,Other,2020,0.0,0.0,0.0,0.0
Wii (Wii),Nintendo,Europe,2013,140.00000000000057,509.999999999998,410.0000000000037,149.99999999999858
Wii (Wii),Nintendo,Europe,2014,0.0,0.0,280.00000000000114,0.0
Wii (Wii),Nintendo,Europe,2015,0.0,0.0,0.0,0.0
Wii (Wii),Nintendo,Europe,2016,0.0,0.0,0.0,0.0
Wii (Wii),Nintendo,Europe,2017,130.00000000000256,0.0,0.0,0.0
Wii (Wii),Nintendo,Europe,2018,0.0,0.0,0.0,0.0
Wii (Wii),Nintendo,Europe,2019,0.0,0.0,0.0,0.0
Wii (Wii),Nintendo,Europe,2020,0.0,0.0,0.0,0.0
Wii (Wii),Nintendo,Japan,2013,9.999999999999789,20.00000000000135,49.99999999999893,19.999999999999574
Wii (Wii),Nintendo,Japan,2014,9.999999999999789,0.0,9.999999999999789,0.0
Wii (Wii),Nintendo,Japan,2015,0.0,0.0,0.0,0.0
Wii (Wii),Nintendo,Japan,2016,0.0,0.0,0.0,0.0
Wii (Wii),Nintendo,Japan,2017,0.0,0.0,0.0,0.0
Wii (Wii),Nintendo,Japan,2018,0.0,0.0,0.0,0.0
Wii (Wii),Nintendo,Japan,2019,0.0,0.0,0.0,0.0
Wii (Wii),Nintendo,Japan,2020,0.0,0.0,0.0,0.0
Wii (Wii),Nintendo,North America,2013,120.00000000000456,179.99999999999972,560.0000000000023,159.9999999999966
Wii (Wii),Nintendo,North America,2014,60.000000000002274,60.000000000002274,209.99999999999372,39.99999999999915
Wii (Wii),Nintendo,North America,2015,10.000000000005116,0.0,49.99999999999716,0.0
Wii (Wii),Nintendo,North America,2016,0.0,0.0,0.0,0.0
Wii (Wii),Nintendo,North America,2017,129.99999999999545,0.0,0.0,0.0
Wii (Wii),Nintendo,North America,2018,0.0,0.0,0.0,0.0
Wii (Wii),Nintendo,North America,2019,0.0,0.0,0.0,0.0
Wii (Wii),Nintendo,North America,2020,0.0,0.0,0.0,0.0
Wii (Wii),Nintendo,Other,2013,0.0,29.99999999999936,39.99999999999915,0.0
Wii (Wii),Nintendo,Other,2014,0.0,0.0,0.0,0.0
Wii (Wii),Nintendo,Other,2015,0.0,0.0,0.0,0.0
Wii (Wii),Nintendo,Other,2016,0.0,0.0,0.0,0.0
Wii (Wii),Nintendo,Other,2017,200.00000000000108,0.0,0.0,0.0
Wii (Wii),Nintendo,Other,2018,0.0,0.0,0.0,0.0
Wii (Wii),Nintendo,Other,2019,0.0,0.0,0.0,0.0
Wii (Wii),Nintendo,Other,2020,0.0,0.0,0.0,0.0
Wii U (WiiU),Nintendo,Europe,2013,130.0,89.99999999999997,290.00000000000006,89.99999999999997
Wii U (WiiU),Nintendo,Europe,2014,100.00000000000009,110.0000000000001,360.0,339.9999999999999
Wii U (WiiU),Nintendo,Europe,2015,189.99999999999997,109.99999999999989,380.0000000000001,100.00000000000009
Wii U (WiiU),Nintendo,Europe,2016,89.99999999999986,180.00000000000017,460.0,40.00000000000004
Wii U (WiiU),Nintendo,Europe,2017,10.000000000000233,29.999999999999805,140.0000000000001,29.999999999999805
Wii U (WiiU),Nintendo,Europe,2018,0.0,0.0,0.0,0.0
Wii U (WiiU),Nintendo,Europe,2019,0.0,0.0,0.0,0.0
Wii U (WiiU),Nintendo,Europe,2020,0.0,0.0,0.0,0.0
Wii U (WiiU),Nintendo,Japan,2013,89.99999999999986,110.0000000000001,510.0,130.0
Wii U (WiiU),Nintendo,Japan,2014,90.00000000000009,100.00000000000009,500.0,139.99999999999991
Wii U (WiiU),Nintendo,Japan,2015,199.99999999999972,99.99999999999964,240.00000000000023,150.00000000000034
Wii U (WiiU),Nintendo,Japan,2016,29.999999999999805,80.00000000000007,410.0000000000001,80.00000000000007
Wii U (WiiU),Nintendo,Japan,2017,10.000000000000233,0.0,49.99999999999982,0.0
Wii U (WiiU),Nintendo,Japan,2018,0.0,0.0,0.0,0.0
Wii U (WiiU),Nintendo,Japan,2019,0.0,0.0,0.0,0.0
Wii U (WiiU),Nintendo,Japan,2020,0.0,0.0,0.0,0.0
Wii U (WiiU),Nintendo,North America,2013,189.99999999999997,130.0000000000001,410.0,139.99999999999991
Wii U (WiiU),Nintendo,North America,2014,330.00000000000006,189.99999999999997,850.0000000000003,359.9999999999999
Wii U (WiiU),Nintendo,North America,2015,280.0000000000002,219.99999999999972,910.0,160.00000000000014
Wii U (WiiU),Nintendo,North America,2016,80.00000000000007,160.00000000000014,829.9999999999992,100.00000000000054
Wii U (WiiU),Nintendo,North America,2017,0.0,19.999999999999574,89.99999999999986,10.000000000000677
Wii U (WiiU),Nintendo,North America,2018,0.0,0.0,0.0,0.0
Wii U (WiiU),Nintendo,North America,2019,0.0,0.0,0.0,0.0
Wii U (WiiU),Nintendo,North America,2020,0.0,0.0,0.0,0.0
Wii U (WiiU),Nintendo,Other,2013,30.00000000000003,30.0,90.0,30.0
Wii U (WiiU),Nintendo,Other,2014,20.000000000000018,30.00000000000003,139.99999999999997,39.99999999999998
Wii U (WiiU),Nintendo,Other,2015,49.999999999999936,30.00000000000003,79.99999999999996,30.00000000000003
Wii U (WiiU),Nintendo,Other,2016,0.0,30.00000000000003,130.0,0.0
Wii U (WiiU),Nintendo,Other,2017,10.000000000000009,10.000000000000009,0.0,0.0
Wii U (WiiU),Nintendo,Other,2018,0.0,0.0,0.0,0.0
Wii U (WiiU),Nintendo,Other,2019,0.0,0.0,0.0,0.0
Wii U (WiiU),Nintendo,Other,2020,0.0,0.0,0.0,0.0
Xbox 360 (X360),Microsoft,Europe,2013,310.0000000000023,980.0000000000005,669.9999999999982,399.9999999999986
Xbox 360 (X360),Microsoft,Europe,2014,140.00000000000057,0.0,359.99999999999943,59.99999999999872
Xbox 360 (X360),Microsoft,Europe,2015,39.99999999999915,70.00000000000028,170.0000000000017,19.999999999999574
Xbox 360 (X360),Microsoft,Europe,2016,9.99999999999801,19.999999999999574,50.00000000000071,19.999999999999574
Xbox 360 (X360),Microsoft,Europe,2017,0.0,0.0,30.000000000001137,10.000000000001563
Xbox 360 (X360),Microsoft,Europe,2018,0.0,0.0,0.0,0.0
Xbox 360 (X360),Microsoft,Europe,2019,0.0,0.0,0.0,0.0
Xbox 360 (X360),Microsoft,Europe,2020,0.0,0.0,0.0,0.0
Xbox 360 (X360),Microsoft,Japan,2013,0.0,0.0,19.999999999999797,10.000000000000009
Xbox 360 (X360),Microsoft,Japan,2014,0.0,0.0,10.000000000000009,0.0
Xbox 360 (X360),Microsoft,Japan,2015,0.0,0.0,0.0,0.0
Xbox 360 (X360),Microsoft,Japan,2016,0.0,0.0,0.0,0.0
Xbox 360 (X360),Microsoft,Japan,2017,0.0,0.0,0.0,0.0
Xbox 360 (X360),Microsoft,Japan,2018,0.0,0.0,0.0,0.0
Xbox 360 (X360),Microsoft,Japan,2019,0.0,0.0,0.0,0.0
Xbox 360 (X360),Microsoft,Japan,2020,0.0,0.0,0.0,0.0
Xbox 360 (X360),Microsoft,North America,2013,350.0000000000014,1469.9999999999989,1580.0000000000057,519.999999999996
Xbox 360 (X360),Microsoft,North America,2014,309.9999999999952,210.00000000000085,1500.0,770.0000000000032
Xbox 360 (X360),Microsoft,North America,2015,89.9999999999963,160.0000000000037,649.9999999999986,30.000000000001137
Xbox 360 (X360),Microsoft,North America,2016,29.99999999999403,69.99999999999318,260.0000000000051,40.00000000000625
Xbox 360 (X360),Microsoft,North America,2017,0.0,9.99999999999801,110.00000000000654,9.99999999999801
Xbox 360 (X360),Microsoft,North America,2018,0.0,0.0,0.0,0.0
Xbox 360 (X360),Microsoft,North America,2019,0.0,0.0,0.0,0.0
Xbox 360 (X360),Microsoft,North America,2020,0.0,0.0,0.0,0.0
Xbox 360 (X360),Microsoft,Other,2013,79.99999999999918,240.00000000000023,179.99999999999972,80.00000000000007
Xbox 360 (X360),Microsoft,Other,2014,70.00000000000028,0.0,100.00000000000054,950.0000000000002
Xbox 360 (X360),Microsoft,Other,2015,29.99999999999936,30.000000000001137,129.999999999999,9.999999999999789
Xbox 360 (X360),Microsoft,Other,2016,9.999999999999789,9.999999999999789,19.999999999999574,10.000000000001563
Xbox 360 (X360),Microsoft,Other,2017,0.0,0.0,19.999999999999574,0.0
Xbox 360 (X360),Microsoft,Other,2018,0.0,0.0,0.0,0.0
Xbox 360 (X360),Microsoft,Other,2019,0.0,0.0,0.0,0.0
Xbox 360 (X360),Microsoft,Other,2020,0.0,0.0,0.0,0.0
Xbox One (XOne),Microsoft,Europe,2013,0.0,0.0,0.0,0.0
Xbox One (XOne),Microsoft,Europe,2014,1000.0,220.00000000000009,890.0,119.99999999999989
Xbox One (XOne),Microsoft,Europe,2015,590.0000000000003,299.99999999999983,790.0,250.0
Xbox One (XOne),Microsoft,Europe,2016,520.0000000000005,469.9999999999998,950.0000000000002,389.99999999999966
Xbox One (XOne),Microsoft,Europe,2017,500.0,339.9999999999999,1040.0,350.0000000000005
Xbox One (XOne),Microsoft,Europe,2018,469.99999999999886,30.000000000001137,1219.9999999999989,259.9999999999998
Xbox One (XOne),Microsoft,Europe,2019,0.0,0.0,820.0000000000002,0.0
Xbox One (XOne),Microsoft,Europe,2020,70.00000000000028,280.00000000000114,169.99999999999994,119.99999999999922
Xbox One (XOne),Microsoft,Japan,2013,0.0,0.0,0.0,0.0
Xbox One (XOne),Microsoft,Japan,2014,40.0,0.0,0.0,0.0
Xbox One (XOne),Microsoft,Japan,2015,0.0,0.0,10.000000000000002,9.999999999999996
Xbox One (XOne),Microsoft,Japan,2016,0.0,0.0,10.000000000000009,0.0
Xbox One (XOne),Microsoft,Japan,2017,0.0,0.0,9.999999999999996,0.0
Xbox One (XOne),Microsoft,Japan,2018,0.0,0.0,9.999999999999996,10.000000000000009
Xbox One (XOne),Microsoft,Japan,2019,0.0,0.0,9.999999999999996,0.0
Xbox One (XOne),Microsoft,Japan,2020,0.0,9.999999999999996,0.0,0.0
Xbox One (XOne),Microsoft,North America,2013,0.0,0.0,0.0,0.0
Xbox One (XOne),Microsoft,North America,2014,1259.9999999999998,730.0,2430.0,389.99999999999966
Xbox One (XOne),Microsoft,North America,2015,1170.0,710.0,2270.0000000000005,600.0000000000006
Xbox One (XOne),Microsoft,North America,2016,910.0,610.0000000000013,2889.999999999998,629.999999999999
Xbox One (XOne),Microsoft,North America,2017,439.9999999999977,679.9999999999998,2939.9999999999995,470.0000000000024
Xbox One (XOne),Microsoft,North America,2018,709.9999999999973,910.0,3230.0000000000005,510.0000000000016
Xbox One (XOne),Microsoft,North America,2019,550.0000000000007,690.0000000000013,2340.0,350.0000000000014
Xbox One (XOne),Microsoft,North America,2020,149.99999999999858,849.9999999999978,1769.9999999999995,350.0000000000014
Xbox One (XOne),Microsoft,Other,2013,0.0,0.0,0.0,0.0
Xbox One (XOne),Microsoft,Other,2014,620.0,79.99999999999999,220.0,60.0
Xbox One (XOne),Microsoft,Other,2015,260.0,149.99999999999991,340.00000000000006,80.00000000000007
Xbox One (XOne),Microsoft,Other,2016,149.99999999999991,149.99999999999991,440.0,120.00000000000011
Xbox One (XOne),Microsoft,Other,2017,220.0000000000002,129.9999999999999,460.0,160.00000000000014
Xbox One (XOne),Microsoft,Other,2018,179.99999999999972,0.0,529.9999999999998,70.00000000000028
Xbox One (XOne),Microsoft,Other,2019,0.0,0.0,270.00000000000045,0.0
Xbox One (XOne),Microsoft,Other,2020,20.000000000000465,0.0,0.0,69.9999999999994
