,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony
,Xbox 360 (X360),Xbox 360 (X360),Xbox 360 (X360),Xbox 360 (X360),Xbox 360 (X360),Xbox 360 (X360),Xbox 360 (X360),Xbox 360 (X360),Xbox 360 (X360),Xbox 360 (X360),Xbox 360 (X360),Xbox 360 (X360),Xbox 360 (X360),Xbox 360 (X360),Xbox 360 (X360),Xbox 360 (X360),Xbox One (XOne),Xbox One (XOne),Xbox One (XOne),Xbox One (XOne),Xbox One (XOne),Xbox One (XOne),Xbox One (XOne),Xbox One (XOne),Xbox One (XOne),Xbox One (XOne),Xbox One (XOne),Xbox One (XOne),Xbox One (XOne),Xbox One (XOne),Xbox One (XOne),Xbox One (XOne),Nintendo 3DS (3DS),Nintendo 3DS (3DS),Nintendo 3DS (3DS),Nintendo 3DS (3DS),Nintendo 3DS (3DS),Nintendo 3DS (3DS),Nintendo 3DS (3DS),Nintendo 3DS (3DS),Nintendo 3DS (3DS),Nintendo 3DS (3DS),Nintendo 3DS (3DS),Nintendo 3DS (3DS),Nintendo 3DS (3DS),Nintendo 3DS (3DS),Nintendo 3DS (3DS),Nintendo 3DS (3DS),Nintendo DS (DS),Nintendo DS (DS),Nintendo DS (DS),Nintendo DS (DS),Nintendo DS (DS),Nintendo DS (DS),Nintendo DS (DS),Nintendo DS (DS),Nintendo DS (DS),Nintendo DS (DS),Nintendo DS (DS),Nintendo DS (DS),Nintendo DS (DS),Nintendo DS (DS),Nintendo DS (DS),Nintendo DS (DS),Nintendo Switch (NS),Nintendo Switch (NS),Nintendo Switch (NS),Nintendo Switch (NS),Nintendo Switch (NS),Nintendo Switch (NS),Nintendo Switch (NS),Nintendo Switch (NS),Nintendo Switch (NS),Nintendo Switch (NS),Nintendo Switch (NS),Nintendo Switch (NS),Nintendo Switch (NS),Nintendo Switch (NS),Nintendo Switch (NS),Nintendo Switch (NS),Wii (Wii),Wii (Wii),Wii (Wii),Wii (Wii),Wii (Wii),Wii (Wii),Wii (Wii),Wii (Wii),Wii (Wii),Wii (Wii),Wii (Wii),Wii (Wii),Wii (Wii),Wii (Wii),Wii (Wii),Wii (Wii),Wii U (WiiU),Wii U (WiiU),Wii U (WiiU),Wii U (WiiU),Wii U (WiiU),Wii U (WiiU),Wii U (WiiU),Wii U (WiiU),Wii U (WiiU),Wii U (WiiU),Wii U (WiiU),Wii U (WiiU),Wii U (WiiU),Wii U (WiiU),Wii U (WiiU),Wii U (WiiU),PlayStation 3 (PS3),PlayStation 3 (PS3),PlayStation 3 (PS3),PlayStation 3 (PS3),PlayStation 3 (PS3),PlayStation 3 (PS3),PlayStation 3 (PS3),PlayStation 3 (PS3),PlayStation 3 (PS3),PlayStation 3 (PS3),PlayStation 3 (PS3),PlayStation 3 (PS3),PlayStation 3 (PS3),PlayStation 3 (PS3),PlayStation 3 (PS3),PlayStation 3 (PS3),PlayStation 4 (PS4),PlayStation 4 (PS4),PlayStation 4 (PS4),PlayStation 4 (PS4),PlayStation 4 (PS4),PlayStation 4 (PS4),PlayStation 4 (PS4),PlayStation 4 (PS4),PlayStation 4 (PS4),PlayStation 4 (PS4),PlayStation 4 (PS4),PlayStation 4 (PS4),PlayStation 4 (PS4),PlayStation 4 (PS4),PlayStation 4 (PS4),PlayStation 4 (PS4),PlayStation Vita (PSV),PlayStation Vita (PSV),PlayStation Vita (PSV),PlayStation Vita (PSV),PlayStation Vita (PSV),PlayStation Vita (PSV),PlayStation Vita (PSV),PlayStation Vita (PSV),PlayStation Vita (PSV),PlayStation Vita (PSV),PlayStation Vita (PSV),PlayStation Vita (PSV),PlayStation Vita (PSV),PlayStation Vita (PSV),PlayStation Vita (PSV),PlayStation Vita (PSV)
,Europe,Europe,Europe,Europe,Japan,Japan,Japan,Japan,North America,North America,North America,North America,Other,Other,Other,Other,Europe,Europe,Europe,Europe,Japan,Japan,Japan,Japan,North America,North America,North America,North America,Other,Other,Other,Other,Europe,Europe,Europe,Europe,Japan,Japan,Japan,Japan,North America,North America,North America,North America,Other,Other,Other,Other,Europe,Europe,Europe,Europe,Japan,Japan,Japan,Japan,North America,North America,North America,North America,Other,Other,Other,Other,Europe,Europe,Europe,Europe,Japan,Japan,Japan,Japan,North America,North America,North America,North America,Other,Other,Other,Other,Europe,Europe,Europe,Europe,Japan,Japan,Japan,Japan,North America,North America,North America,North America,Other,Other,Other,Other,Europe,Europe,Europe,Europe,Japan,Japan,Japan,Japan,North America,North America,North America,North America,Other,Other,Other,Other,Europe,Europe,Europe,Europe,Japan,Japan,Japan,Japan,North America,North America,North America,North America,Other,Other,Other,Other,Europe,Europe,Europe,Europe,Japan,Japan,Japan,Japan,North America,North America,North America,North America,Other,Other,Other,Other,Europe,Europe,Europe,Europe,Japan,Japan,Japan,Japan,North America,North America,North America,North America,Other,Other,Other,Other
,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP,DEC,JUN,MAR,SEP
2013,310.0000000000023,980.0000000000005,669.9999999999982,399.9999999999986,0.0,0.0,19.999999999999794,10.000000000000009,350.0000000000014,1469.9999999999989,1580.0000000000055,519.999999999996,79.99999999999918,240.00000000000023,179.99999999999972,80.00000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,949.9999999999993,549.9999999999998,1370.0,660.0000000000001,1380.0000000000007,660.0000000000001,2090.0,789.9999999999991,860.0000000000013,580.0000000000001,1410.0000000000002,639.9999999999987,169.99999999999994,70.00000000000006,309.99999999999983,130.0000000000001,0.0,39.99999999999915,250.0,0.0,0.0,0.0,0.0,0.0,49.99999999999716,170.0000000000017,469.99999999999886,140.00000000000057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.00000000000057,509.999999999998,410.0000000000037,149.99999999999858,9.999999999999787,20.00000000000135,49.999999999998934,19.999999999999574,120.00000000000455,179.99999999999972,560.0000000000023,159.9999999999966,0.0,29.99999999999936,39.99999999999915,0.0,130.0,89.99999999999997,290.00000000000006,89.99999999999997,89.99999999999986,110.0000000000001,510.0,130.0,189.99999999999994,130.0000000000001,409.99999999999994,139.99999999999991,30.00000000000003,30.0,90.0,30.0,669.9999999999982,2010.0000000000016,1329.9999999999982,699.9999999999993,109.99999999999943,179.99999999999972,380.0000000000008,179.99999999999972,390.00000000000057,489.9999999999984,960.0000000000009,379.999999999999,279.9999999999994,1300.0000000000007,490.0000000000002,390.00000000000057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.99999999999977,330.00000000000006,169.99999999999994,130.0000000000001,179.99999999999994,229.99999999999997,270.0,229.99999999999997,79.99999999999984,69.99999999999984,140.0000000000001,110.0000000000001,40.000000000000036,140.0,60.0,70.0
2014,140.00000000000057,0.0,359.99999999999943,59.99999999999872,0.0,0.0,10.000000000000009,0.0,309.99999999999517,210.00000000000085,1500.0,770.0000000000032,70.00000000000028,0.0,100.00000000000054,950.0000000000002,1000.0,220.00000000000009,890.0,119.99999999999989,40.0,0.0,0.0,0.0,1259.9999999999998,730.0,2430.0,389.99999999999966,620.0,79.99999999999999,220.0,60.0,0.0,439.9999999999995,2180.0000000000014,0.0,959.9999999999973,439.9999999999995,1490.0000000000002,470.0000000000006,580.0000000000001,419.99999999999994,2129.999999999999,400.00000000000034,0.0,209.99999999999997,390.0000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.00000000000028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.00000000000114,0.0,9.999999999999787,0.0,9.999999999999787,0.0,60.000000000002274,60.000000000002274,209.99999999999375,39.99999999999915,0.0,0.0,0.0,0.0,100.00000000000009,110.0000000000001,360.0,339.9999999999999,90.00000000000009,100.00000000000009,500.0,139.99999999999991,330.00000000000006,189.99999999999994,850.0000000000003,359.9999999999999,20.000000000000018,30.00000000000003,139.99999999999997,39.99999999999998,120.00000000000455,0.0,719.9999999999989,0.0,70.00000000000028,140.00000000000057,259.9999999999998,80.00000000000007,169.99999999999815,160.00000000000014,870.000000000001,120.000000000001,160.00000000000014,0.0,119.99999999999922,360.0000000000012,2430.0000000000005,649.9999999999999,2180.0,929.9999999999998,130.0,259.99999999999994,320.0,90.00000000000009,1540.0,870.0000000000001,2750.0,750.0,940.0,190.00000000000006,600.0,459.99999999999994,89.99999999999986,109.99999999999987,390.0000000000001,70.00000000000028,180.00000000000017,330.00000000000006,579.9999999999999,270.0,49.99999999999982,30.00000000000003,260.0,80.00000000000007,70.00000000000006,200.00000000000006,159.99999999999991,59.99999999999994
2015,39.99999999999915,70.00000000000028,170.0000000000017,19.999999999999574,0.0,0.0,0.0,0.0,89.9999999999963,160.0000000000037,649.9999999999986,30.000000000001137,29.99999999999936,30.000000000001137,129.999999999999,9.999999999999787,590.0000000000003,299.99999999999983,790.0,250.0,0.0,0.0,10.000000000000002,9.999999999999995,1170.0,710.0,2270.0000000000005,600.0000000000006,260.0,149.99999999999991,340.00000000000006,80.00000000000007,529.9999999999993,650.0000000000003,949.9999999999993,210.00000000000085,429.9999999999997,350.0000000000014,1250.0,300.0000000000007,500.0,679.9999999999998,1480.0000000000005,260.0000000000016,110.00000000000031,140.0000000000001,299.99999999999983,49.99999999999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.000000000005116,0.0,49.99999999999716,0.0,0.0,0.0,0.0,0.0,189.99999999999994,109.99999999999987,380.0000000000001,100.00000000000009,199.99999999999974,99.99999999999964,240.00000000000023,150.00000000000034,280.0000000000002,219.99999999999974,910.0000000000001,160.00000000000014,49.999999999999936,30.00000000000003,79.99999999999996,30.00000000000003,120.00000000000455,179.99999999999972,729.9999999999968,70.00000000000028,40.000000000000924,60.0000000000005,99.99999999999964,29.99999999999936,30.000000000001137,100.00000000000142,289.99999999999915,19.999999999999574,59.99999999999872,99.99999999999964,209.9999999999991,40.000000000000924,1360.0000000000011,1199.9999999999993,1479.9999999999995,820.0000000000002,359.9999999999999,349.9999999999999,290.00000000000006,160.00000000000014,1240.0000000000002,850.0000000000006,1889.9999999999998,719.9999999999989,639.9999999999997,870.0000000000001,660.0000000000001,390.0000000000001,240.00000000000023,149.99999999999991,169.99999999999994,1080.0,209.99999999999997,270.0,290.00000000000006,149.99999999999991,30.00000000000025,69.99999999999984,190.0000000000004,29.999999999999805,120.00000000000011,120.00000000000011,149.99999999999991,439.99999999999994
2016,9.99999999999801,19.999999999999574,50.00000000000071,19.999999999999574,0.0,0.0,0.0,0.0,29.99999999999403,69.99999999999318,260.0000000000051,40.00000000000625,9.999999999999787,9.999999999999787,19.999999999999574,10.000000000001563,520.0000000000005,469.9999999999998,950.0000000000002,389.99999999999966,0.0,0.0,10.000000000000009,0.0,910.0000000000001,610.0000000000013,2889.9999999999986,629.999999999999,149.99999999999991,149.99999999999991,439.99999999999994,120.00000000000011,160.00000000000014,559.9999999999987,720.0000000000007,0.0,279.9999999999976,300.0000000000007,989.9999999999984,330.0000000000018,399.9999999999986,440.00000000000125,1029.9999999999975,109.99999999999943,0.0,109.99999999999987,189.99999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.99999999999986,180.00000000000017,459.99999999999994,40.000000000000036,29.999999999999805,80.00000000000007,410.0000000000001,80.00000000000007,80.00000000000007,160.00000000000014,829.9999999999992,100.00000000000054,0.0,30.00000000000003,130.0,0.0,40.00000000000625,49.99999999999716,109.99999999999943,49.99999999999716,9.999999999999787,19.999999999999574,19.999999999999574,9.999999999999787,30.000000000001137,29.999999999997584,70.00000000000028,30.000000000001137,19.999999999999574,29.99999999999936,50.00000000000071,20.00000000000135,1019.9999999999995,1800.0000000000007,3429.9999999999995,1129.999999999999,310.00000000000006,349.99999999999966,450.00000000000017,310.00000000000006,640.0000000000006,740.0000000000002,3620.000000000001,740.0000000000002,429.9999999999997,669.9999999999999,1320.0000000000002,450.00000000000017,140.00000000000057,129.9999999999999,0.0,139.9999999999997,89.99999999999986,240.00000000000023,410.0000000000001,169.99999999999994,9.999999999999787,29.999999999999805,100.00000000000009,0.0,50.00000000000027,109.99999999999987,29.999999999999805,80.00000000000007
2017,0.0,0.0,30.000000000001137,10.000000000001563,0.0,0.0,0.0,0.0,0.0,9.99999999999801,110.00000000000654,9.99999999999801,0.0,0.0,19.999999999999574,0.0,500.0,339.9999999999999,1040.0,350.0000000000005,0.0,0.0,9.999999999999995,0.0,439.9999999999977,679.9999999999998,2939.9999999999995,470.0000000000024,220.0000000000002,129.9999999999999,459.99999999999994,160.00000000000014,1400.000000000002,169.99999999999815,760.0000000000016,199.9999999999993,589.9999999999999,320.0000000000003,1030.0000000000011,210.00000000000085,619.9999999999975,250.0,1260.0000000000016,280.00000000000114,60.00000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000003126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679.9999999999998,840.0,0.0,490.0000000000001,950.0,650.0,0.0,420.00000000000006,1090.0,1150.0,0.0,740.0,360.0,240.0,0.0,300.00000000000006,130.00000000000256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.99999999999545,0.0,0.0,0.0,200.00000000000108,0.0,0.0,0.0,10.000000000000231,29.999999999999805,140.0000000000001,29.999999999999805,10.000000000000231,0.0,49.99999999999982,0.0,0.0,19.999999999999574,89.99999999999986,10.000000000000675,10.000000000000009,10.000000000000009,0.0,0.0,9.99999999999801,20.000000000003126,59.99999999999517,9.99999999999801,0.0,10.000000000001563,9.999999999999787,9.999999999999787,0.0,10.000000000001563,39.99999999999915,0.0,0.0,9.999999999999787,29.99999999999936,10.000000000001563,1760.0000000000016,1089.9999999999998,3330.000000000002,1989.9999999999984,540.0,349.99999999999966,900.0000000000003,280.0000000000002,929.9999999999998,880.0000000000025,3209.9999999999973,910.0000000000001,1319.9999999999984,519.9999999999995,1600.0000000000005,640.0000000000006,40.000000000000036,60.0000000000005,269.99999999999955,29.99999999999936,70.00000000000028,89.99999999999986,280.0000000000002,49.99999999999982,0.0,10.000000000000231,20.000000000000018,0.0,20.000000000000018,50.00000000000027,139.9999999999997,29.999999999999805
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.99999999999886,30.000000000001137,1219.9999999999989,259.9999999999998,0.0,0.0,9.999999999999995,10.000000000000009,709.9999999999973,910.0000000000001,3230.0000000000005,510.0000000000016,179.99999999999972,0.0,529.9999999999998,70.00000000000028,199.9999999999993,170.0000000000017,1189.9999999999977,0.0,109.99999999999943,150.00000000000213,489.9999999999984,79.9999999999983,279.9999999999976,460.00000000000085,1320.0000000000002,210.00000000000085,49.99999999999982,40.000000000000036,319.99999999999983,30.00000000000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790.0,770.0000000000005,1790.0,599.9999999999997,629.9999999999999,620.0000000000001,1640.0000000000002,500.0,880.0000000000008,950.0000000000002,2690.0,729.9999999999995,379.9999999999999,409.99999999999994,430.00000000000006,300.00000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1810.0000000000023,1649.9999999999986,3489.9999999999986,970.0000000000024,280.0000000000002,410.0000000000001,839.9999999999999,219.99999999999974,1150.000000000002,1289.999999999999,3160.0,739.9999999999984,780.0000000000011,629.999999999999,1760.0000000000016,339.9999999999999,0.0,9.999999999999787,50.00000000000071,0.0,30.00000000000025,59.99999999999961,89.99999999999986,40.000000000000036,0.0,0.0,9.999999999999787,0.0,0.0,10.000000000000231,20.000000000000018,0.0
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0000000000002,0.0,0.0,0.0,9.999999999999995,0.0,550.0000000000007,690.0000000000013,2340.0,350.0000000000014,0.0,0.0,270.00000000000045,0.0,39.99999999999915,0.0,320.0000000000003,0.0,19.999999999999574,100.00000000000142,120.000000000001,39.99999999999915,79.9999999999983,259.999999999998,630.0000000000025,80.00000000000185,0.0,0.0,99.99999999999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1599.9999999999995,859.9999999999994,2280.0000000000005,660.0000000000001,1780.0000000000011,1040.0,1649.9999999999995,599.9999999999997,2090.0,1410.0000000000002,3349.9999999999995,990.0000000000002,750.0,299.99999999999983,1240.0000000000002,379.9999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.00000000000483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.99999999999851,0.0,0.0,1880.0000000000025,1739.999999999995,2539.999999999999,1490.000000000002,199.9999999999993,399.9999999999995,500.0,200.00000000000108,879.9999999999955,1020.0000000000032,2379.999999999999,759.999999999998,609.9999999999994,660.0000000000001,1000.0,719.9999999999989,0.0,0.0,0.0,0.0,0.0,30.00000000000025,19.999999999999574,0.0,80.00000000000007,0.0,10.000000000000231,0.0,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.00000000000028,280.00000000000114,169.99999999999994,119.99999999999922,0.0,9.999999999999995,0.0,0.0,149.99999999999858,849.9999999999978,1769.9999999999995,350.0000000000014,20.000000000000462,0.0,0.0,69.9999999999994,9.99999999999801,30.000000000001137,70.00000000000028,70.00000000000028,19.999999999999574,19.999999999999574,19.999999999999574,10.000000000001563,70.00000000000028,89.99999999999986,109.99999999999943,350.0000000000014,0.0,10.000000000000675,0.0,69.9999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1740.000000000002,969.9999999999989,2450.000000000001,1920.0,1259.9999999999998,1240.0000000000002,1769.9999999999995,1519.9999999999995,2549.9999999999973,2509.999999999998,3210.000000000001,1470.0000000000025,900.0000000000003,839.9999999999999,1400.0000000000005,1109.9999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0000000000023,1810.0000000000023,1859.9999999999995,1139.9999999999934,39.99999999999915,280.00000000000114,349.99999999999966,80.00000000000007,419.9999999999946,990.000000000002,1980.000000000004,570.0000000000002,109.99999999999943,420.0000000000017,699.9999999999993,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
