,,当年,当年,当年,当年,当年,当年,当年,当年,当年,当年,当年,当年,当日,当日,当日,当日,当日,当日,当日,当日,当日,当日,当日,当日,当月,当月,当月,当月,当月,当月,当月,当月,当月,当月,当月,当月
,,保费合计,保费合计,保费合计,保费合计,保费合计,保费合计,同比增速,同比增速,同比增速,同比增速,同比增速,同比增速,保费合计,保费合计,保费合计,保费合计,保费合计,保费合计,同比增速,同比增速,同比增速,同比增速,同比增速,同比增速,保费合计,保费合计,保费合计,保费合计,保费合计,保费合计,同比增速,同比增速,同比增速,同比增速,同比增速,同比增速
,,大个险,大个险,大个险,非大个险,非大个险,非大个险,大个险,大个险,大个险,非大个险,非大个险,非大个险,大个险,大个险,大个险,非大个险,非大个险,非大个险,大个险,大个险,大个险,非大个险,非大个险,非大个险,大个险,大个险,大个险,非大个险,非大个险,非大个险,大个险,大个险,大个险,非大个险,非大个险,非大个险
,,个险渠道,互动渠道,服务营销渠道,团险渠道,电销渠道,银邮渠道,个险渠道,互动渠道,服务营销渠道,团险渠道,电销渠道,银邮渠道,个险渠道,互动渠道,服务营销渠道,团险渠道,电销渠道,银邮渠道,个险渠道,互动渠道,服务营销渠道,团险渠道,电销渠道,银邮渠道,个险渠道,互动渠道,服务营销渠道,团险渠道,电销渠道,银邮渠道,个险渠道,互动渠道,服务营销渠道,团险渠道,电销渠道,银邮渠道
北京市分公司,中短存续期产品,13.9062,10.12,158.5518,106.866589,0,22045.2479,-0.804953925,-0.993985572,-0.265059504,-0.634875446,0,-0.610078279,0,0,1.32,0,0,0,0,0,0,-1,0,0,0,0,1.32,0,0,0,0,0,0,-1,0,0
北京市分公司,其他长险趸交,1082.406012,2872.688661,2068.916265,16752.00767,14.2104,993.357836,-0.164854158,-0.543588713,1.730660489,-0.114190599,0.149327488,-0.610666306,3.844362,0.645716,12.517494,30.838422,0,0.797316,0.788557844,321.858,4.003395155,-0.327495753,0,-0.939953684,3.844362,0.645716,12.517494,30.838422,0,0.797316,0.788557844,321.858,4.003395155,-0.327495753,0,-0.939953684
北京市分公司,短期险,399.979004,2205.525735,95.697635,29030.56014,131.890186,11.515554,1.066813363,-0.27245949,0.695235996,1.161601529,-0.429848235,-0.715200808,28.1847,13.806734,3.617481,27.845577,2.4172,0.2282,7.686517401,4.473256954,10.48771356,2.676569101,0.67303433,0.616147309,28.1847,13.806734,3.617481,27.845577,2.4172,0.2282,7.686517401,4.473256954,10.48771356,2.676569101,0.67303433,0.616147309
北京市分公司,长险趸交,1096.312212,2882.808661,2227.468065,16858.87426,14.2104,23038.60574,-0.198230165,-0.638596302,1.28834801,-0.122126191,0.149327488,-0.61010367,3.844362,0.645716,13.837494,30.838422,0,0.797316,0.788557844,321.858,4.531015269,-0.346312603,0,-0.939953684,3.844362,0.645716,13.837494,30.838422,0,0.797316,0.788557844,321.858,4.531015269,-0.346312603,0,-0.939953684
安徽省分公司,中短存续期产品,19.1444,7.469,22.297,5.61,0,37534.7706,-0.782523398,-0.698436667,-0.856677202,-0.714605484,0,-0.605841165,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0
安徽省分公司,其他长险趸交,603.676919,102.98872,492.01184,654.026175,0,151.29804,-0.259155806,-0.798401529,0.381615445,0.067012851,0,-0.69082482,7.63815,0.002,6.06809,0.440145,0,1.75982,-0.190552391,0,0.297917758,-0.446260977,0,1.063675595,7.63815,0.002,6.06809,0.440145,0,1.75982,-0.190552391,0,0.297917758,-0.446260977,0,1.063675595
安徽省分公司,短期险,357.366285,27.302731,139.376257,697.032497,0,20.165606,0.110174255,-0.840371281,0.621581281,-0.028932787,-1,-0.693555534,7.463224,0.850425,2.7799,18.60263,0,0.8388,0.345258301,1.83475,1.173155097,-0.12757513,0,0.677264547,7.463224,0.850425,2.7799,18.60263,0,0.8388,0.345258301,1.83475,1.173155097,-0.12757513,0,0.677264547
安徽省分公司,长险趸交,622.821319,110.45772,514.30884,659.636175,0,37686.06864,-0.310183523,-0.793779125,0.005127159,0.042725645,0,-0.606275651,7.63815,0.002,6.06809,0.440145,0,-8.24018,-0.190552391,0,0.297917758,-0.446260977,0,-10.66295323,7.63815,0.002,6.06809,0.440145,0,-8.24018,-0.190552391,0,0.297917758,-0.446260977,0,-10.66295323
河北省分公司,中短存续期产品,386.43176,84.6824,182.1523,231.1639,0,76605.5004,-0.787009145,-0.798831359,-0.405556274,-0.665687773,0,-0.51096606,0.11,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0
河北省分公司,其他长险趸交,2305.402869,1601.952606,2929.36772,1497.712652,0,753.060789,-0.085132281,3.034567713,-0.073422308,-0.420462445,0,-0.787604979,32.73342,2.751796,33.345075,37.580335,0,22.92908,-0.2082901,-0.099990842,0.978619153,2.426046197,0,-0.549155788,32.73342,2.751796,33.345075,37.580335,0,22.92908,-0.2082901,-0.099990842,0.978619153,2.426046197,0,-0.549155788
河北省分公司,短期险,739.597979,27.088639,345.122958,1676.156198,112.8517,38.532467,0.373666203,-0.59883709,1.998504175,-0.258143652,-0.77666794,-0.79426233,13.920024,0.2282,6.6803,79.13596,0.642,0.7408,0.773545173,-0.730213488,2.499921412,3.646924899,-0.876276739,-0.602788204,13.920024,0.2282,6.6803,79.13596,0.642,0.7408,0.773545173,-0.730213488,2.499921412,3.646924899,-0.876276739,-0.602788204
河北省分公司,长险趸交,2691.834629,1686.635006,3111.52002,1728.876552,0,77358.56119,-0.378937596,1.061878035,-0.102769636,-0.472225239,0,-0.517088968,32.84342,2.751796,33.345075,37.580335,0,22.92908,-0.207737409,-0.099990842,0.978619153,2.426046197,0,-0.549155788,32.84342,2.751796,33.345075,37.580335,0,22.92908,-0.207737409,-0.099990842,0.978619153,2.426046197,0,-0.549155788
河南省分公司,中短存续期产品,35.1505,1.32,169.39604,5.247,0,68020.9641,-0.862845836,-0.969241811,0.594017121,-0.951499822,0,-0.647929843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
河南省分公司,其他长险趸交,1316.414311,75.92225,1149.648849,16581.68571,0,784.147998,0.127516282,-0.728303187,1.763182122,17.05182398,0,-0.721888397,11.278554,0.001,11.100885,9.915037,0,11.078985,0.304673493,0,16.68304475,0,0,-0.549656175,11.278554,0.001,11.100885,9.915037,0,11.078985,0.304673493,0,16.68304475,0,0,-0.549656175
河南省分公司,短期险,650.327459,7.605607,147.171446,2637.606876,6.617829,11.24522,0.691567852,-0.814947001,2.159610616,-0.276223205,0.113333855,-0.788190773,9.647288,0.1085,2.098,1396.70901,0.2538,0.0736,1.102554614,-0.65664557,1.994148708,180.8915729,1.426386233,-0.904253935,9.647288,0.1085,2.098,1396.70901,0.2538,0.0736,1.102554614,-0.65664557,1.994148708,180.8915729,1.426386233,-0.904253935
河南省分公司,长险趸交,1351.564811,77.24225,1319.044889,16586.93271,0,68805.1121,-0.050746908,-0.760379773,1.525311174,15.15486604,0,-0.648993647,11.278554,0.001,11.100885,9.915037,0,11.078985,0.304673493,0,16.68304475,0,0,-0.549656175,11.278554,0.001,11.100885,9.915037,0,11.078985,0.304673493,0,16.68304475,0,0,-0.549656175
湖北省分公司,中短存续期产品,14.443,12.54,57.6884,58.498,0,78973.5265,-0.724905194,-0.854461892,-0.933371955,-0.453611425,0,-0.255273244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
湖北省分公司,其他长险趸交,1076.600925,163.447274,943.880845,268.707578,0,1341.160374,-0.061895135,0.044500322,1.021523563,-0.800264923,0,-0.376868406,21.773286,5.974033,10.800124,4.541328,0,16.780384,0.723055386,0.895230859,-0.196385263,5.36396861,0,0.072635446,21.773286,5.974033,10.800124,4.541328,0,16.780384,0.723055386,0.895230859,-0.196385263,5.36396861,0,0.072635446
湖北省分公司,短期险,501.641468,47.698122,171.969953,1894.581276,0,53.36414,0.138447807,0.159415082,1.990731443,-0.40250499,-1,-0.597950944,9.469991,0.9358,6.368629,18.15314,0,0.6517,0.540574409,0.108899159,3.014263473,-0.009309461,0,-0.605842268,9.469991,0.9358,6.368629,18.15314,0,0.6517,0.540574409,0.108899159,3.014263473,-0.009309461,0,-0.605842268
湖北省分公司,长险趸交,1091.043925,175.987274,1001.569245,327.205578,0,80314.68687,-0.090899593,-0.274718038,-0.248490436,-0.774711219,0,-0.257692079,21.773286,5.974033,10.800124,4.541328,0,16.780384,0.723055386,0.895230859,-0.196385263,5.36396861,0,0.072635446,21.773286,5.974033,10.800124,4.541328,0,16.780384,0.723055386,0.895230859,-0.196385263,5.36396861,0,0.072635446
湖南省分公司,中短存续期产品,154.30382,17.49839,356.82841,19.811,0,101988.1628,-0.707954063,-0.94414571,0.287449736,-0.718316468,0,-0.197754137,0.374,0,0,0,0,0,0,0,0,0,0,-1,0.374,0,0,0,0,0,0,0,0,0,0,-1
湖南省分公司,其他长险趸交,1044.173608,5083.779421,1262.73431,2619.747777,0.16,1233.937061,0.12187896,-0.495652269,0.395039954,-0.468553857,-0.903540079,-0.794629435,8.73828,32.864973,16.574814,8.421682,0,34.39534,0.444584964,5.807330132,1.109471538,3.260346223,0,-0.252983097,8.73828,32.864973,16.574814,8.421682,0,34.39534,0.444584964,5.807330132,1.109471538,3.260346223,0,-0.252983097
湖南省分公司,短期险,477.236898,47.27093,144.383805,4056.824593,0.2086,26.765888,2.459893424,-0.419282058,1.693197658,-0.114663348,-0.83094254,-0.639835976,9.377189,0.6231,3.403298,4.1751,0,0.4722,1.767280992,-0.557771469,0.995723907,0.626894751,-1,-0.403411244,9.377189,0.6231,3.403298,4.1751,0,0.4722,1.767280992,-0.557771469,0.995723907,0.626894751,-1,-0.403411244
湖南省分公司,长险趸交,1198.477428,5101.277811,1619.56272,2639.558777,0.16,103222.0999,-0.178613675,-0.509171393,0.369818667,-0.472067193,-0.903540079,-0.224690612,9.11228,32.864973,16.574814,8.421682,0,34.39534,0.418697522,5.807330132,1.109471538,3.260346223,0,-0.236398786,9.11228,32.864973,16.574814,8.421682,0,34.39534,0.418697522,5.807330132,1.109471538,3.260346223,0,-0.236398786
福建省分公司,中短存续期产品,13.189,7.051,0.55,3.6355,0,13917.8295,-0.418807562,-0.728044124,-0.821428571,-0.326197757,0,-0.539022262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福建省分公司,其他长险趸交,445.486662,1153.50627,280.201403,388.606812,0,535.97625,0.048804755,-0.286086776,3.314851755,-0.983393279,0,-0.731998636,5.060891,1.612378,1.365367,4.770603,0,9.04398,1.474533417,7.118721047,3.404409677,0,0,-0.277166846,5.060891,1.612378,1.365367,4.770603,0,9.04398,1.474533417,7.118721047,3.404409677,0,0,-0.277166846
福建省分公司,短期险,230.481232,14.158381,44.964118,617.562882,0,128.647954,0.38325559,-0.562001087,0.257732289,-0.539552374,-1,0.195860085,2.1341,0.259055,0.392459,5.698225,0,1.1744,-0.014591125,-0.326613899,7.879162896,0.997116597,0,4.537010844,2.1341,0.259055,0.392459,5.698225,0,1.1744,-0.014591125,-0.326613899,7.879162896,0.997116597,0,4.537010844
福建省分公司,长险趸交,458.675662,1160.55727,280.751403,392.242312,0,14453.80575,0.025089172,-0.293066602,3.127554438,-0.983241784,0,-0.551010804,5.060891,1.612378,1.365367,4.770603,0,9.04398,1.474533417,7.118721047,3.404409677,0,0,-0.277166846,5.060891,1.612378,1.365367,4.770603,0,9.04398,1.474533417,7.118721047,3.404409677,0,0,-0.277166846
黑龙江分公司,中短存续期产品,0.66,5.94,32.0056,9.8285,0,23501.3448,-0.945454545,-0.817875211,-0.653998002,-0.801730833,0,-0.547824411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
黑龙江分公司,其他长险趸交,1462.16761,26.34068,1224.388991,14.544524,0,550.56618,0.109083925,0.22850716,0.695928677,-0.832228464,0,-0.684568612,20.7402,0,9.818979,1.042964,0,7.2786,7.266650723,0,0.882220369,0,0,-0.437465511,20.7402,0,9.818979,1.042964,0,7.2786,7.266650723,0,0.882220369,0,0,-0.437465511
黑龙江分公司,短期险,771.732067,4.961947,102.639565,583.636903,0,15.949304,0.181373098,-0.861133619,0.877061308,-0.551700588,-1,-0.71984717,19.885892,0.02,1.801254,19.471485,0,1.6468,1.558670112,-0.818181818,0.817429119,-0.089154581,0,1.511897498,19.885892,0.02,1.801254,19.471485,0,1.6468,1.558670112,-0.818181818,0.817429119,-0.089154581,0,1.511897498
黑龙江分公司,长险趸交,1462.82761,32.28068,1256.394591,24.373024,0,24051.91098,0.099493293,-0.402831238,0.542612386,-0.821133722,0,-0.552267475,20.7402,0,9.818979,1.042964,0,7.2786,7.266650723,0,0.882220369,0,0,-0.437465511,20.7402,0,9.818979,1.042964,0,7.2786,7.266650723,0,0.882220369,0,0,-0.437465511
